par_H1,par_H2,par_H3,par_H4,par_H4plus,par_H5,par_H6,par_depth_gt1m,par_total,plan,plots_Agriculture,plots_Commercial,plots_Industry,plots_Residential,plots_total
0.0,304.67755918577313,390.3935027346015,434.947844222188,22390.687878236175,7257.394069989212,14698.345964024775,21368.55440151319,23227.306935064495,p28,1013,252,5,1678,2951
0.0,306.28417282179,364.328674338758,448.0834767371416,22540.995954673737,7253.018519003876,14839.89395893272,21458.97799181938,23211.608801834285,p28,1013,252,5,1681,2954
0.0,306.28417282179,364.47676994651556,611.1008402854204,22540.84785906598,6327.546603043564,15602.200415736996,21458.97799181938,23211.608801834285,p28,1013,252,5,1681,2954
0.0,41.14814145117998,466.1062636356801,782.227566331625,21491.455807836726,9257.9234556593,11451.304785845801,20610.04008876905,21998.710212923586,p37,1000,243,5,1560,2811
0.0,230.41882680729032,413.67144241183996,686.0327333658934,22654.854554336518,6085.307056223042,15883.514764747582,21501.252557843924,23298.94482355565,p29,1017,252,5,1690,2967
0.0,40.708343256264925,287.7542657516897,625.1744209863245,23819.397689156234,4399.220554814674,18795.002713355236,22583.889834441245,24147.86029816419,p38,1019,254,5,1763,3044
0.0,154.9035269021988,327.0040915235877,679.79028005898,22394.0177888982,7136.592935477383,14577.634573361836,21175.316552039236,22875.925407323986,p41,1011,249,5,1669,2937
0.0,1901.018120393157,2281.9963398184627,4326.747930280864,40123.683533468284,22656.54647740349,13140.389125783928,32676.70911850594,44306.6979936799,p32,1027,253,5,1815,3103
0.0,306.28417282179,364.47676994651556,611.1008402854204,22540.84785906598,6327.546603043564,15602.200415736996,21458.97799181938,23211.608801834285,p28,1013,252,5,1677,2950
0.0,230.41882680729032,413.67144241183996,686.0327333658934,22654.854554336518,6085.307056223042,15883.514764747582,21501.252557843924,23298.94482355565,p29,1016,252,5,1687,2963
0.0,41.14814145117998,466.1062636356801,782.227566331625,21491.455807836726,9257.9234556593,11451.304785845801,20610.04008876905,21998.710212923586,p37,998,243,5,1557,2806
0.0,40.708343256264925,287.7542657516897,625.1744209863245,23819.397689156234,4399.220554814674,18795.002713355236,22583.889834441245,24147.86029816419,p38,1018,254,5,1756,3036
0.0,154.9035269021988,327.0040915235877,679.79028005898,22394.0177888982,7136.592935477383,14577.634573361836,21175.316552039236,22875.925407323986,p41,1011,249,5,1668,2936
0.0,1901.018120393157,2066.324242627248,4324.068746082485,40121.004349269904,22656.54647740349,13140.389125783928,32641.65982381068,44088.34671229031,p32,1027,253,5,1777,3065
0.0,1901.018120393157,2066.324242627248,4324.068746082485,40121.004349269904,22656.54647740349,13140.389125783928,32641.65982381068,44088.34671229031,p32,1027,253,5,1777,3065
0.0,306.28417282179,364.47676994651556,611.1008402854204,22540.84785906598,6327.546603043564,15602.200415736996,21458.97799181938,23211.608801834285,p28,1013,252,5,1677,2950
0.0,230.41882680729032,413.67144241183996,686.0327333658934,22654.854554336518,6085.307056223042,15883.514764747582,21501.252557843924,23298.94482355565,p29,1016,252,5,1687,2963
0.0,41.14814145117998,466.1062636356801,782.227566331625,21491.455807836726,9257.9234556593,11451.304785845801,20610.04008876905,21998.710212923586,p37,998,243,5,1557,2806
0.0,40.708343256264925,287.7542657516897,625.1744209863245,23819.397689156234,4399.220554814674,18795.002713355236,22583.889834441245,24147.86029816419,p38,1018,254,5,1756,3036
0.0,154.9035269021988,327.0040915235877,679.79028005898,22394.0177888982,7136.592935477383,14577.634573361836,21175.316552039236,22875.925407323986,p41,1011,249,5,1668,2936
0.0,306.28417282179,364.47676994651556,611.1008402854204,22540.84785906598,6327.546603043564,15602.200415736996,21458.97799181938,23211.608801834285,p28,1013,252,5,1677,2950
0.0,230.41882680729032,413.67144241183996,686.0327333658934,22654.854554336518,6085.307056223042,15883.514764747582,21501.252557843924,23298.94482355565,p29,1016,252,5,1687,2963
0.0,1901.018120393157,2066.324242627248,4324.068746082485,40121.004349269904,22656.54647740349,13140.389125783928,32641.65982381068,44088.34671229031,p32,1027,253,5,1777,3065
0.0,41.14814145117998,466.1062636356801,782.227566331625,21491.455807836726,9257.9234556593,11451.304785845801,20610.04008876905,21998.710212923586,p37,998,243,5,1557,2806
0.0,40.708343256264925,287.7542657516897,625.1744209863245,23819.397689156234,4399.220554814674,18795.002713355236,22583.889834441245,24147.86029816419,p38,1018,254,5,1756,3036
0.0,154.9035269021988,327.0040915235877,679.79028005898,22394.0177888982,7136.592935477383,14577.634573361836,21175.316552039236,22875.925407323986,p41,1011,249,5,1668,2936
19.270048,38.569236755371094,0.0,1979.0241145789623,1529.500098740682,2530.882202462293,43451.3336092215,13826.915492278524,27093.535914480686,37298.472518588416,46959.85782254115,p35,1032,265,5,2099,3404
18.667664,37.495361328125,0.0,1929.9102277457714,1458.2301946189255,2363.6149426782504,42910.95516452007,15276.201593169011,25271.13862867281,37041.82731117401,46299.09558688477,p30,1032,263,5,2038,3341
0.0,2237.0156603828073,1308.8959434311837,6212.063443110324,35537.47656156961,22105.433329990134,7219.979788469151,27358.842508142814,39083.3881653836,p48,1020,181,4,1572,2780
0.0,313.9133410938084,356.8476016744971,693.7471706420183,22539.99518720433,6313.320444901474,15532.927571660839,21498.532984495163,23210.756129972637,p45,1013,252,5,1677,2950
0.0,310.3769972808659,360.38394548743963,654.8025105148554,22540.84785906598,6339.183325787075,15546.86202276405,21340.53291642666,23211.608801834285,p44,1013,252,5,1677,2950
