time_h,date,total_flow,weir_flow,stage_hw,stage_tw,breach_width,breach_bottom,breach_flow,breach_velocity
-0.0,01JAN2000 00:00:00,0.247,0.247,84.507,23.925,0.0,0.0,0.0,0.0
0.0833,01JAN2000 00:05:00,0.246,0.246,84.507,23.299,nan,nan,nan,nan
0.1667,01JAN2000 00:10:00,0.246,0.246,84.507,23.299,nan,nan,nan,nan
0.25,01JAN2000 00:15:00,0.246,0.246,84.507,23.299,nan,nan,nan,nan
0.3333,01JAN2000 00:20:00,0.245,0.245,84.507,23.299,nan,nan,nan,nan
0.4167,01JAN2000 00:25:00,0.243,0.243,84.507,23.299,nan,nan,nan,nan
0.5,01JAN2000 00:30:00,0.24,0.24,84.507,23.298,nan,nan,nan,nan
0.5833,01JAN2000 00:35:00,0.24,0.24,84.507,23.298,nan,nan,nan,nan
0.6667,01JAN2000 00:40:00,0.241,0.241,84.507,23.298,nan,nan,nan,nan
0.75,01JAN2000 00:45:00,0.24,0.24,84.507,23.298,nan,nan,nan,nan
0.8333,01JAN2000 00:50:00,0.238,0.238,84.507,23.298,nan,nan,nan,nan
0.9167,01JAN2000 00:55:00,0.236,0.236,84.507,23.297,nan,nan,nan,nan
1.0,01JAN2000 01:00:00,0.234,0.234,84.507,23.297,nan,nan,nan,nan
1.0833,01JAN2000 01:05:00,0.235,0.235,84.507,23.297,nan,nan,nan,nan
1.1667,01JAN2000 01:10:00,0.235,0.235,84.507,23.297,nan,nan,nan,nan
1.25,01JAN2000 01:15:00,0.234,0.234,84.507,23.297,nan,nan,nan,nan
1.3333,01JAN2000 01:20:00,0.232,0.232,84.507,23.297,nan,nan,nan,nan
1.4167,01JAN2000 01:25:00,0.23,0.23,84.507,23.296,nan,nan,nan,nan
1.5,01JAN2000 01:30:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.5833,01JAN2000 01:35:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.6667,01JAN2000 01:40:00,0.229,0.229,84.506,23.296,nan,nan,nan,nan
1.75,01JAN2000 01:45:00,0.228,0.228,84.506,23.296,nan,nan,nan,nan
1.8333,01JAN2000 01:50:00,0.225,0.225,84.506,23.295,nan,nan,nan,nan
1.9167,01JAN2000 01:55:00,0.224,0.224,84.506,23.295,nan,nan,nan,nan
2.0,01JAN2000 02:00:00,0.224,0.224,84.506,23.295,nan,nan,nan,nan
