time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,20.987,0.0
0.0833,01JAN2000 00:05:00,21.514,0.0
0.1667,01JAN2000 00:10:00,21.514,0.0
0.25,01JAN2000 00:15:00,21.675,0.094
0.3333,01JAN2000 00:20:00,21.806,0.696
0.4167,01JAN2000 00:25:00,21.898,2.542
0.5,01JAN2000 00:30:00,21.992,6.567
0.5833,01JAN2000 00:35:00,22.099,13.36
0.6667,01JAN2000 00:40:00,22.215,22.789
0.75,01JAN2000 00:45:00,22.321,34.225
0.8333,01JAN2000 00:50:00,22.421,46.821
0.9167,01JAN2000 00:55:00,22.508,59.744
1.0,01JAN2000 01:00:00,22.581,72.23
1.0833,01JAN2000 01:05:00,22.645,83.871
1.1667,01JAN2000 01:10:00,22.692,94.518
1.25,01JAN2000 01:15:00,22.734,104.175
1.3333,01JAN2000 01:20:00,22.769,112.85
1.4167,01JAN2000 01:25:00,22.8,120.561
1.5,01JAN2000 01:30:00,22.826,127.393
1.5833,01JAN2000 01:35:00,22.85,133.503
1.6667,01JAN2000 01:40:00,22.87,138.995
1.75,01JAN2000 01:45:00,22.888,143.885
1.8333,01JAN2000 01:50:00,22.903,148.198
1.9167,01JAN2000 01:55:00,22.917,151.981
2.0,01JAN2000 02:00:00,22.929,155.296
2.0833,01JAN2000 02:05:00,22.939,158.229
2.1667,01JAN2000 02:10:00,22.948,160.854
2.25,01JAN2000 02:15:00,22.957,163.195
2.3333,01JAN2000 02:20:00,22.963,165.289
2.4167,01JAN2000 02:25:00,22.97,167.21
2.5,01JAN2000 02:30:00,22.976,168.965
2.5833,01JAN2000 02:35:00,22.981,170.521
2.6667,01JAN2000 02:40:00,22.986,171.911
2.75,01JAN2000 02:45:00,22.99,173.212
2.8333,01JAN2000 02:50:00,22.994,174.425
2.9167,01JAN2000 02:55:00,22.998,175.502
3.0,01JAN2000 03:00:00,23.001,176.468
3.0833,01JAN2000 03:05:00,23.004,177.425
3.1667,01JAN2000 03:10:00,23.008,178.398
3.25,01JAN2000 03:15:00,23.011,179.314
3.3333,01JAN2000 03:20:00,23.013,180.13
3.4167,01JAN2000 03:25:00,23.015,180.831
3.5,01JAN2000 03:30:00,23.018,181.423
3.5833,01JAN2000 03:35:00,23.019,181.946
3.6667,01JAN2000 03:40:00,23.021,182.438
3.75,01JAN2000 03:45:00,23.022,182.888
3.8333,01JAN2000 03:50:00,23.024,183.302
3.9167,01JAN2000 03:55:00,23.025,183.733
4.0,01JAN2000 04:00:00,23.027,184.167
4.0833,01JAN2000 04:05:00,23.028,184.543
4.1667,01JAN2000 04:10:00,23.029,184.875
4.25,01JAN2000 04:15:00,23.03,185.229
4.3333,01JAN2000 04:20:00,23.031,185.589
4.4167,01JAN2000 04:25:00,23.032,185.893
4.5,01JAN2000 04:30:00,23.033,186.157
4.5833,01JAN2000 04:35:00,23.034,186.477
4.6667,01JAN2000 04:40:00,23.036,186.874
4.75,01JAN2000 04:45:00,23.036,187.263
4.8333,01JAN2000 04:50:00,23.038,187.595
4.9167,01JAN2000 04:55:00,23.039,187.849
5.0,01JAN2000 05:00:00,23.039,188.028
5.0833,01JAN2000 05:05:00,23.039,188.169
5.1667,01JAN2000 05:10:00,23.04,188.31
5.25,01JAN2000 05:15:00,23.042,188.989
5.3333,01JAN2000 05:20:00,23.048,190.812
5.4167,01JAN2000 05:25:00,23.061,194.596
5.5,01JAN2000 05:30:00,23.079,200.335
5.5833,01JAN2000 05:35:00,23.099,206.909
5.6667,01JAN2000 05:40:00,23.119,213.448
5.75,01JAN2000 05:45:00,23.137,219.292
5.8333,01JAN2000 05:50:00,23.152,224.18
5.9167,01JAN2000 05:55:00,23.163,227.669
6.0,01JAN2000 06:00:00,23.171,230.224
6.0833,01JAN2000 06:05:00,23.177,232.235
6.1667,01JAN2000 06:10:00,23.182,233.924
6.25,01JAN2000 06:15:00,23.186,235.253
6.3333,01JAN2000 06:20:00,23.189,236.263
6.4167,01JAN2000 06:25:00,23.191,236.997
6.5,01JAN2000 06:30:00,23.192,237.496
6.5833,01JAN2000 06:35:00,23.193,237.85
6.6667,01JAN2000 06:40:00,23.194,238.133
6.75,01JAN2000 06:45:00,23.195,238.345
6.8333,01JAN2000 06:50:00,23.195,238.503
6.9167,01JAN2000 06:55:00,23.195,238.685
7.0,01JAN2000 07:00:00,23.196,238.879
7.0833,01JAN2000 07:05:00,23.196,239.01
7.1667,01JAN2000 07:10:00,23.197,239.097
7.25,01JAN2000 07:15:00,23.197,239.222
7.3333,01JAN2000 07:20:00,23.198,239.367
7.4167,01JAN2000 07:25:00,23.198,239.447
7.5,01JAN2000 07:30:00,23.198,239.49
7.5833,01JAN2000 07:35:00,23.198,239.622
7.6667,01JAN2000 07:40:00,23.199,239.866
7.75,01JAN2000 07:45:00,23.2,240.116
7.8333,01JAN2000 07:50:00,23.201,240.305
7.9167,01JAN2000 07:55:00,23.202,240.974
8.0,01JAN2000 08:00:00,23.207,242.734
8.0833,01JAN2000 08:05:00,23.218,246.405
8.1667,01JAN2000 08:10:00,23.235,252.043
8.25,01JAN2000 08:15:00,23.253,258.55
8.3333,01JAN2000 08:20:00,23.272,265.035
8.4167,01JAN2000 08:25:00,23.288,270.827
8.5,01JAN2000 08:30:00,23.302,275.661
8.5833,01JAN2000 08:35:00,23.311,279.069
8.6667,01JAN2000 08:40:00,23.318,281.532
8.75,01JAN2000 08:45:00,23.323,283.417
8.8333,01JAN2000 08:50:00,23.327,284.904
8.9167,01JAN2000 08:55:00,23.33,285.963
9.0,01JAN2000 09:00:00,23.332,286.725
9.0833,01JAN2000 09:05:00,23.333,287.406
9.1667,01JAN2000 09:10:00,23.336,288.082
9.25,01JAN2000 09:15:00,23.339,289.228
9.3333,01JAN2000 09:20:00,23.345,291.4
9.4167,01JAN2000 09:25:00,23.356,295.359
9.5,01JAN2000 09:30:00,23.371,301.128
9.5833,01JAN2000 09:35:00,23.389,307.715
9.6667,01JAN2000 09:40:00,23.406,314.284
9.75,01JAN2000 09:45:00,23.421,320.059
9.8333,01JAN2000 09:50:00,23.435,324.803
9.9167,01JAN2000 09:55:00,23.444,328.806
10.0,01JAN2000 10:00:00,23.456,333.104
10.0833,01JAN2000 10:05:00,23.469,338.635
10.1667,01JAN2000 10:10:00,23.487,345.649
10.25,01JAN2000 10:15:00,23.508,353.835
10.3333,01JAN2000 10:20:00,23.531,362.975
10.4167,01JAN2000 10:25:00,23.555,373.038
10.5,01JAN2000 10:30:00,23.581,383.864
10.5833,01JAN2000 10:35:00,23.608,394.83
10.6667,01JAN2000 10:40:00,23.635,406.186
10.75,01JAN2000 10:45:00,23.662,418.062
10.8333,01JAN2000 10:50:00,23.691,430.309
10.9167,01JAN2000 10:55:00,23.718,442.065
11.0,01JAN2000 11:00:00,23.744,453.639
11.0833,01JAN2000 11:05:00,23.774,466.633
