time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,3.602,0.0
0.0833,01JAN2000 00:05:00,3.602,0.0
0.1667,01JAN2000 00:10:00,3.604,0.001
0.25,01JAN2000 00:15:00,3.616,0.013
0.3333,01JAN2000 00:20:00,3.621,0.034
0.4167,01JAN2000 00:25:00,3.624,0.054
0.5,01JAN2000 00:30:00,3.626,0.072
0.5833,01JAN2000 00:35:00,3.628,0.095
0.6667,01JAN2000 00:40:00,3.629,0.117
0.75,01JAN2000 00:45:00,3.63,0.136
0.8333,01JAN2000 00:50:00,3.913,0.157
0.9167,01JAN2000 00:55:00,3.912,0.182
1.0,01JAN2000 01:00:00,3.905,0.216
1.0833,01JAN2000 01:05:00,3.903,0.263
1.1667,01JAN2000 01:10:00,3.906,0.32
1.25,01JAN2000 01:15:00,3.913,0.383
1.3333,01JAN2000 01:20:00,3.918,0.445
1.4167,01JAN2000 01:25:00,3.926,0.512
1.5,01JAN2000 01:30:00,3.933,0.583
1.5833,01JAN2000 01:35:00,3.942,0.665
1.6667,01JAN2000 01:40:00,3.947,0.752
1.75,01JAN2000 01:45:00,3.957,0.859
1.8333,01JAN2000 01:50:00,3.968,0.976
1.9167,01JAN2000 01:55:00,3.979,1.105
2.0,01JAN2000 02:00:00,3.991,1.251
2.0833,01JAN2000 02:05:00,4.027,1.481
2.1667,01JAN2000 02:10:00,4.116,2.0
2.25,01JAN2000 02:15:00,4.164,2.464
2.3333,01JAN2000 02:20:00,4.206,3.034
2.4167,01JAN2000 02:25:00,4.249,3.854
2.5,01JAN2000 02:30:00,4.281,5.003
2.5833,01JAN2000 02:35:00,4.301,6.773
2.6667,01JAN2000 02:40:00,4.31,9.203
2.75,01JAN2000 02:45:00,4.325,11.927
2.8333,01JAN2000 02:50:00,4.33,14.577
2.9167,01JAN2000 02:55:00,4.338,16.63
3.0,01JAN2000 03:00:00,4.346,18.422
3.0833,01JAN2000 03:05:00,4.352,20.095
3.1667,01JAN2000 03:10:00,4.356,21.669
3.25,01JAN2000 03:15:00,4.361,23.144
3.3333,01JAN2000 03:20:00,4.364,24.45
3.4167,01JAN2000 03:25:00,4.367,25.629
3.5,01JAN2000 03:30:00,4.369,26.744
3.5833,01JAN2000 03:35:00,4.371,27.822
3.6667,01JAN2000 03:40:00,4.374,28.884
3.75,01JAN2000 03:45:00,4.377,29.996
3.8333,01JAN2000 03:50:00,4.38,31.174
3.9167,01JAN2000 03:55:00,4.383,32.443
4.0,01JAN2000 04:00:00,4.386,33.8
4.0833,01JAN2000 04:05:00,4.388,35.222
4.1667,01JAN2000 04:10:00,4.389,36.731
4.25,01JAN2000 04:15:00,4.39,38.27
4.3333,01JAN2000 04:20:00,4.389,39.92
4.4167,01JAN2000 04:25:00,4.388,41.728
4.5,01JAN2000 04:30:00,4.387,43.795
4.5833,01JAN2000 04:35:00,4.385,46.239
4.6667,01JAN2000 04:40:00,4.384,49.071
4.75,01JAN2000 04:45:00,4.383,52.091
4.8333,01JAN2000 04:50:00,4.384,55.117
4.9167,01JAN2000 04:55:00,4.385,57.99
5.0,01JAN2000 05:00:00,4.387,60.741
5.0833,01JAN2000 05:05:00,4.388,63.376
5.1667,01JAN2000 05:10:00,4.39,65.882
5.25,01JAN2000 05:15:00,4.393,68.553
5.3333,01JAN2000 05:20:00,4.395,71.108
5.4167,01JAN2000 05:25:00,4.398,73.543
5.5,01JAN2000 05:30:00,4.401,75.93
5.5833,01JAN2000 05:35:00,4.403,78.293
5.6667,01JAN2000 05:40:00,4.406,80.599
5.75,01JAN2000 05:45:00,4.409,82.864
5.8333,01JAN2000 05:50:00,4.412,85.095
5.9167,01JAN2000 05:55:00,4.415,87.287
6.0,01JAN2000 06:00:00,4.419,89.402
6.0833,01JAN2000 06:05:00,4.422,91.425
6.1667,01JAN2000 06:10:00,4.426,93.466
6.25,01JAN2000 06:15:00,4.434,96.316
6.3333,01JAN2000 06:20:00,4.45,100.532
6.4167,01JAN2000 06:25:00,4.467,105.57
6.5,01JAN2000 06:30:00,4.48,110.25
6.5833,01JAN2000 06:35:00,4.489,114.324
6.6667,01JAN2000 06:40:00,4.495,117.994
6.75,01JAN2000 06:45:00,4.499,121.549
6.8333,01JAN2000 06:50:00,4.502,125.145
6.9167,01JAN2000 06:55:00,4.505,128.861
7.0,01JAN2000 07:00:00,4.508,132.758
7.0833,01JAN2000 07:05:00,4.511,136.877
7.1667,01JAN2000 07:10:00,4.515,141.194
7.25,01JAN2000 07:15:00,4.519,145.733
7.3333,01JAN2000 07:20:00,4.523,150.435
7.4167,01JAN2000 07:25:00,4.527,155.219
7.5,01JAN2000 07:30:00,4.531,160.013
7.5833,01JAN2000 07:35:00,4.535,164.751
7.6667,01JAN2000 07:40:00,4.539,169.358
7.75,01JAN2000 07:45:00,4.543,173.751
7.8333,01JAN2000 07:50:00,4.547,177.886
7.9167,01JAN2000 07:55:00,4.551,182.14
8.0,01JAN2000 08:00:00,4.555,186.138
8.0833,01JAN2000 08:05:00,4.559,189.91
8.1667,01JAN2000 08:10:00,4.562,193.476
8.25,01JAN2000 08:15:00,4.566,196.883
8.3333,01JAN2000 08:20:00,4.57,200.174
8.4167,01JAN2000 08:25:00,4.573,203.357
8.5,01JAN2000 08:30:00,4.577,206.436
8.5833,01JAN2000 08:35:00,4.581,209.414
8.6667,01JAN2000 08:40:00,4.584,212.283
8.75,01JAN2000 08:45:00,4.588,215.026
8.8333,01JAN2000 08:50:00,4.591,217.628
8.9167,01JAN2000 08:55:00,4.594,220.098
9.0,01JAN2000 09:00:00,4.597,222.486
9.0833,01JAN2000 09:05:00,4.599,224.874
9.1667,01JAN2000 09:10:00,4.602,227.332
9.25,01JAN2000 09:15:00,4.605,230.384
9.3333,01JAN2000 09:20:00,4.609,233.716
9.4167,01JAN2000 09:25:00,4.613,237.425
9.5,01JAN2000 09:30:00,4.617,241.537
9.5833,01JAN2000 09:35:00,4.622,246.06
9.6667,01JAN2000 09:40:00,4.627,250.946
9.75,01JAN2000 09:45:00,4.633,256.083
9.8333,01JAN2000 09:50:00,4.638,261.396
9.9167,01JAN2000 09:55:00,4.645,267.29
10.0,01JAN2000 10:00:00,4.651,273.251
10.0833,01JAN2000 10:05:00,4.658,279.247
10.1667,01JAN2000 10:10:00,4.664,285.27
10.25,01JAN2000 10:15:00,4.671,291.819
10.3333,01JAN2000 10:20:00,4.678,298.504
10.4167,01JAN2000 10:25:00,4.685,305.375
10.5,01JAN2000 10:30:00,4.692,312.537
10.5833,01JAN2000 10:35:00,4.7,320.522
10.6667,01JAN2000 10:40:00,4.709,328.847
10.75,01JAN2000 10:45:00,4.717,337.533
10.8333,01JAN2000 10:50:00,4.726,346.565
10.9167,01JAN2000 10:55:00,4.736,356.529
11.0,01JAN2000 11:00:00,4.746,366.893
11.0833,01JAN2000 11:05:00,4.757,378.805
11.1667,01JAN2000 11:10:00,4.768,391.385
11.25,01JAN2000 11:15:00,4.782,406.027
11.3333,01JAN2000 11:20:00,4.796,421.909
11.4167,01JAN2000 11:25:00,4.813,441.175
11.5,01JAN2000 11:30:00,4.831,462.546
11.5833,01JAN2000 11:35:00,4.854,489.442
11.6667,01JAN2000 11:40:00,4.879,519.238
11.75,01JAN2000 11:45:00,4.911,559.795
11.8333,01JAN2000 11:50:00,4.947,605.977
11.9167,01JAN2000 11:55:00,5.008,690.388
12.0,01JAN2000 12:00:00,5.081,795.972
12.0833,01JAN2000 12:05:00,5.155,907.304
12.1667,01JAN2000 12:10:00,5.24,1040.288
12.25,01JAN2000 12:15:00,5.308,1155.442
12.3333,01JAN2000 12:20:00,5.349,1235.419
12.4167,01JAN2000 12:25:00,5.361,1269.082
12.5,01JAN2000 12:30:00,5.362,1280.831
12.5833,01JAN2000 12:35:00,5.361,1287.566
12.6667,01JAN2000 12:40:00,5.37,1309.991
12.75,01JAN2000 12:45:00,5.393,1358.435
12.8333,01JAN2000 12:50:00,5.434,1441.206
12.9167,01JAN2000 12:55:00,5.491,1559.528
13.0,01JAN2000 13:00:00,5.561,1711.434
13.0833,01JAN2000 13:05:00,5.638,1882.523
13.1667,01JAN2000 13:10:00,5.713,2060.417
