time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,25.334,0.0
0.0833,01JAN2000 00:05:00,25.688,0.0
0.1667,01JAN2000 00:10:00,25.688,0.0
0.25,01JAN2000 00:15:00,25.688,0.0
0.3333,01JAN2000 00:20:00,25.688,0.0
0.4167,01JAN2000 00:25:00,25.688,0.0
0.5,01JAN2000 00:30:00,25.688,0.0
0.5833,01JAN2000 00:35:00,25.688,0.0
0.6667,01JAN2000 00:40:00,25.688,0.0
0.75,01JAN2000 00:45:00,25.688,0.0
0.8333,01JAN2000 00:50:00,25.69,0.0
0.9167,01JAN2000 00:55:00,25.703,0.005
1.0,01JAN2000 01:00:00,25.729,0.03
1.0833,01JAN2000 01:05:00,25.761,0.097
1.1667,01JAN2000 01:10:00,25.798,0.238
1.25,01JAN2000 01:15:00,25.839,0.482
1.3333,01JAN2000 01:20:00,25.867,0.867
1.4167,01JAN2000 01:25:00,25.894,1.439
1.5,01JAN2000 01:30:00,25.924,2.254
1.5833,01JAN2000 01:35:00,25.949,3.377
1.6667,01JAN2000 01:40:00,25.978,4.866
1.75,01JAN2000 01:45:00,26.01,6.759
1.8333,01JAN2000 01:50:00,26.043,9.078
1.9167,01JAN2000 01:55:00,26.079,11.84
2.0,01JAN2000 02:00:00,26.117,15.053
2.0833,01JAN2000 02:05:00,26.154,18.715
2.1667,01JAN2000 02:10:00,26.189,22.808
2.25,01JAN2000 02:15:00,26.224,27.311
2.3333,01JAN2000 02:20:00,26.258,32.194
2.4167,01JAN2000 02:25:00,26.292,37.419
2.5,01JAN2000 02:30:00,26.325,42.951
2.5833,01JAN2000 02:35:00,26.358,48.755
2.6667,01JAN2000 02:40:00,26.391,54.797
2.75,01JAN2000 02:45:00,26.422,61.029
2.8333,01JAN2000 02:50:00,26.452,67.407
2.9167,01JAN2000 02:55:00,26.481,73.89
3.0,01JAN2000 03:00:00,26.51,80.438
3.0833,01JAN2000 03:05:00,26.538,87.019
3.1667,01JAN2000 03:10:00,26.565,93.609
3.25,01JAN2000 03:15:00,26.591,100.184
3.3333,01JAN2000 03:20:00,26.617,106.722
3.4167,01JAN2000 03:25:00,26.641,113.214
3.5,01JAN2000 03:30:00,26.664,119.659
3.5833,01JAN2000 03:35:00,26.687,126.059
3.6667,01JAN2000 03:40:00,26.709,132.409
3.75,01JAN2000 03:45:00,26.73,138.702
3.8333,01JAN2000 03:50:00,26.751,144.939
3.9167,01JAN2000 03:55:00,26.771,151.121
4.0,01JAN2000 04:00:00,26.791,157.241
4.0833,01JAN2000 04:05:00,26.81,163.3
4.1667,01JAN2000 04:10:00,26.828,169.309
4.25,01JAN2000 04:15:00,26.847,175.273
4.3333,01JAN2000 04:20:00,26.865,181.171
4.4167,01JAN2000 04:25:00,26.883,187.006
4.5,01JAN2000 04:30:00,26.899,192.797
4.5833,01JAN2000 04:35:00,26.916,198.537
4.6667,01JAN2000 04:40:00,26.932,204.21
4.75,01JAN2000 04:45:00,26.948,209.819
4.8333,01JAN2000 04:50:00,26.964,215.38
4.9167,01JAN2000 04:55:00,26.98,220.906
5.0,01JAN2000 05:00:00,26.995,226.391
5.0833,01JAN2000 05:05:00,27.009,231.837
5.1667,01JAN2000 05:10:00,27.024,237.236
5.25,01JAN2000 05:15:00,27.039,242.597
5.3333,01JAN2000 05:20:00,27.053,247.942
5.4167,01JAN2000 05:25:00,27.066,253.28
5.5,01JAN2000 05:30:00,27.081,258.608
5.5833,01JAN2000 05:35:00,27.094,263.937
5.6667,01JAN2000 05:40:00,27.108,269.276
5.75,01JAN2000 05:45:00,27.121,274.623
5.8333,01JAN2000 05:50:00,27.135,279.962
5.9167,01JAN2000 05:55:00,27.148,285.297
6.0,01JAN2000 06:00:00,27.161,290.625
6.0833,01JAN2000 06:05:00,27.174,295.955
6.1667,01JAN2000 06:10:00,27.187,301.298
6.25,01JAN2000 06:15:00,27.201,306.656
6.3333,01JAN2000 06:20:00,27.213,311.999
6.4167,01JAN2000 06:25:00,27.226,317.342
6.5,01JAN2000 06:30:00,27.239,322.721
6.5833,01JAN2000 06:35:00,27.251,328.147
6.6667,01JAN2000 06:40:00,27.265,333.594
6.75,01JAN2000 06:45:00,27.277,339.065
6.8333,01JAN2000 06:50:00,27.289,344.572
6.9167,01JAN2000 06:55:00,27.302,350.124
7.0,01JAN2000 07:00:00,27.315,355.719
7.0833,01JAN2000 07:05:00,27.328,361.384
7.1667,01JAN2000 07:10:00,27.34,367.137
7.25,01JAN2000 07:15:00,27.354,372.991
7.3333,01JAN2000 07:20:00,27.367,378.957
7.4167,01JAN2000 07:25:00,27.379,385.036
7.5,01JAN2000 07:30:00,27.393,391.202
7.5833,01JAN2000 07:35:00,27.407,397.476
7.6667,01JAN2000 07:40:00,27.422,403.882
7.75,01JAN2000 07:45:00,27.435,410.425
7.8333,01JAN2000 07:50:00,27.449,417.069
7.9167,01JAN2000 07:55:00,27.464,423.812
8.0,01JAN2000 08:00:00,27.478,430.668
8.0833,01JAN2000 08:05:00,27.493,437.659
8.1667,01JAN2000 08:10:00,27.508,444.795
8.25,01JAN2000 08:15:00,27.523,452.108
8.3333,01JAN2000 08:20:00,27.538,459.606
8.4167,01JAN2000 08:25:00,27.553,467.291
8.5,01JAN2000 08:30:00,27.57,475.138
8.5833,01JAN2000 08:35:00,27.585,483.162
8.6667,01JAN2000 08:40:00,27.601,491.375
8.75,01JAN2000 08:45:00,27.618,499.811
8.8333,01JAN2000 08:50:00,27.635,508.487
8.9167,01JAN2000 08:55:00,27.653,517.431
9.0,01JAN2000 09:00:00,27.671,526.644
9.0833,01JAN2000 09:05:00,27.689,536.155
9.1667,01JAN2000 09:10:00,27.707,545.974
9.25,01JAN2000 09:15:00,27.727,556.145
9.3333,01JAN2000 09:20:00,27.746,566.676
9.4167,01JAN2000 09:25:00,27.767,577.607
9.5,01JAN2000 09:30:00,27.788,588.973
9.5833,01JAN2000 09:35:00,27.81,600.813
9.6667,01JAN2000 09:40:00,27.832,613.095
9.75,01JAN2000 09:45:00,27.855,625.869
9.8333,01JAN2000 09:50:00,27.877,639.184
9.9167,01JAN2000 09:55:00,27.903,653.103
10.0,01JAN2000 10:00:00,27.927,667.622
10.0833,01JAN2000 10:05:00,27.954,682.82
10.1667,01JAN2000 10:10:00,27.982,698.74
10.25,01JAN2000 10:15:00,28.01,715.461
10.3333,01JAN2000 10:20:00,28.039,733.005
10.4167,01JAN2000 10:25:00,28.071,751.508
10.5,01JAN2000 10:30:00,28.102,771.056
10.5833,01JAN2000 10:35:00,28.137,791.827
10.6667,01JAN2000 10:40:00,28.172,813.925
10.75,01JAN2000 10:45:00,28.21,837.529
10.8333,01JAN2000 10:50:00,28.249,862.687
10.9167,01JAN2000 10:55:00,28.291,889.686
11.0,01JAN2000 11:00:00,28.336,918.742
11.0833,01JAN2000 11:05:00,28.385,950.249
11.1667,01JAN2000 11:10:00,28.434,984.407
11.25,01JAN2000 11:15:00,28.49,1021.77
11.3333,01JAN2000 11:20:00,28.549,1062.71
11.4167,01JAN2000 11:25:00,28.614,1108.16
11.5,01JAN2000 11:30:00,28.685,1158.74
11.5833,01JAN2000 11:35:00,28.765,1216.12
11.6667,01JAN2000 11:40:00,28.852,1281.56
11.75,01JAN2000 11:45:00,28.954,1358.63
11.8333,01JAN2000 11:50:00,29.071,1450.28
11.9167,01JAN2000 11:55:00,29.221,1571.12
12.0,01JAN2000 12:00:00,29.418,1734.51
12.0833,01JAN2000 12:05:00,29.663,1946.19
12.1667,01JAN2000 12:10:00,29.947,2204.467
12.25,01JAN2000 12:15:00,30.261,2504.4
12.3333,01JAN2000 12:20:00,30.602,2849.016
12.4167,01JAN2000 12:25:00,30.967,3237.325
12.5,01JAN2000 12:30:00,31.35,3666.55
12.5833,01JAN2000 12:35:00,31.738,4121.625
12.6667,01JAN2000 12:40:00,32.075,4570.95
12.75,01JAN2000 12:45:00,32.37,4983.33
12.8333,01JAN2000 12:50:00,32.618,5338.75
12.9167,01JAN2000 12:55:00,32.811,5624.748
13.0,01JAN2000 13:00:00,32.951,5834.14
13.0833,01JAN2000 13:05:00,33.037,5965.849
13.1667,01JAN2000 13:10:00,33.081,6032.189
13.25,01JAN2000 13:15:00,33.081,6033.97
13.3333,01JAN2000 13:20:00,33.044,5966.588
13.4167,01JAN2000 13:25:00,32.963,5845.44
13.5,01JAN2000 13:30:00,32.852,5683.64
13.5833,01JAN2000 13:35:00,32.721,5485.65
13.6667,01JAN2000 13:40:00,32.564,5254.862
13.75,01JAN2000 13:45:00,32.381,4992.06
13.8333,01JAN2000 13:50:00,32.175,4704.043
13.9167,01JAN2000 13:55:00,31.955,4409.646
14.0,01JAN2000 14:00:00,31.748,4127.67
14.0833,01JAN2000 14:05:00,31.529,3867.077
14.1667,01JAN2000 14:10:00,31.32,3626.95
14.25,01JAN2000 14:15:00,31.122,3404.12
14.3333,01JAN2000 14:20:00,30.932,3198.49
14.4167,01JAN2000 14:25:00,30.759,3009.282
14.5,01JAN2000 14:30:00,30.592,2835.46
14.5833,01JAN2000 14:35:00,30.436,2674.592
14.6667,01JAN2000 14:40:00,30.285,2524.089
14.75,01JAN2000 14:45:00,30.138,2382.49
14.8333,01JAN2000 14:50:00,29.996,2249.989
14.9167,01JAN2000 14:55:00,29.864,2127.29
15.0,01JAN2000 15:00:00,29.74,2014.53
15.0833,01JAN2000 15:05:00,29.624,1910.82
15.1667,01JAN2000 15:10:00,29.516,1814.941
15.25,01JAN2000 15:15:00,29.41,1725.71
15.3333,01JAN2000 15:20:00,29.308,1642.501
15.4167,01JAN2000 15:25:00,29.215,1564.959
15.5,01JAN2000 15:30:00,29.125,1492.99
15.5833,01JAN2000 15:35:00,29.041,1426.339
15.6667,01JAN2000 15:40:00,28.962,1364.72
15.75,01JAN2000 15:45:00,28.888,1307.71
15.8333,01JAN2000 15:50:00,28.817,1254.9
15.9167,01JAN2000 15:55:00,28.75,1205.811
16.0,01JAN2000 16:00:00,28.688,1160.09
16.0833,01JAN2000 16:05:00,28.63,1117.43
16.1667,01JAN2000 16:10:00,28.573,1077.62
16.25,01JAN2000 16:15:00,28.517,1040.4
16.3333,01JAN2000 16:20:00,28.466,1005.58
16.4167,01JAN2000 16:25:00,28.418,972.936
16.5,01JAN2000 16:30:00,28.374,942.303
16.5833,01JAN2000 16:35:00,28.33,913.573
16.6667,01JAN2000 16:40:00,28.287,886.72
16.75,01JAN2000 16:45:00,28.248,861.625
16.8333,01JAN2000 16:50:00,28.212,838.113
16.9167,01JAN2000 16:55:00,28.176,816.022
17.0,01JAN2000 17:00:00,28.144,795.242
17.0833,01JAN2000 17:05:00,28.111,775.612
17.1667,01JAN2000 17:10:00,28.079,756.994
17.25,01JAN2000 17:15:00,28.051,739.284
17.3333,01JAN2000 17:20:00,28.022,722.431
17.4167,01JAN2000 17:25:00,27.994,706.333
17.5,01JAN2000 17:30:00,27.968,690.898
17.5833,01JAN2000 17:35:00,27.943,676.028
17.6667,01JAN2000 17:40:00,27.918,661.686
17.75,01JAN2000 17:45:00,27.893,647.833
17.8333,01JAN2000 17:50:00,27.869,634.495
17.9167,01JAN2000 17:55:00,27.847,621.642
18.0,01JAN2000 18:00:00,27.825,609.329
18.0833,01JAN2000 18:05:00,27.804,597.526
18.1667,01JAN2000 18:10:00,27.785,586.654
18.25,01JAN2000 18:15:00,27.766,576.76
18.3333,01JAN2000 18:20:00,27.749,567.512
18.4167,01JAN2000 18:25:00,27.733,558.861
18.5,01JAN2000 18:30:00,27.716,550.662
18.5833,01JAN2000 18:35:00,27.702,542.866
18.6667,01JAN2000 18:40:00,27.688,535.354
18.75,01JAN2000 18:45:00,27.674,528.111
18.8333,01JAN2000 18:50:00,27.66,521.149
18.9167,01JAN2000 18:55:00,27.648,514.457
19.0,01JAN2000 19:00:00,27.634,507.995
19.0833,01JAN2000 19:05:00,27.622,501.746
19.1667,01JAN2000 19:10:00,27.611,495.697
19.25,01JAN2000 19:15:00,27.599,489.83
19.3333,01JAN2000 19:20:00,27.588,484.125
19.4167,01JAN2000 19:25:00,27.576,478.573
19.5,01JAN2000 19:30:00,27.565,473.16
19.5833,01JAN2000 19:35:00,27.555,467.878
19.6667,01JAN2000 19:40:00,27.544,462.745
19.75,01JAN2000 19:45:00,27.533,457.753
19.8333,01JAN2000 19:50:00,27.524,452.884
19.9167,01JAN2000 19:55:00,27.515,448.152
20.0,01JAN2000 20:00:00,27.505,443.577
20.0833,01JAN2000 20:05:00,27.496,439.137
20.1667,01JAN2000 20:10:00,27.487,434.81
20.25,01JAN2000 20:15:00,27.478,430.576
20.3333,01JAN2000 20:20:00,27.469,426.431
20.4167,01JAN2000 20:25:00,27.46,422.378
20.5,01JAN2000 20:30:00,27.451,418.414
20.5833,01JAN2000 20:35:00,27.444,414.529
20.6667,01JAN2000 20:40:00,27.436,410.709
20.75,01JAN2000 20:45:00,27.428,406.942
20.8333,01JAN2000 20:50:00,27.42,403.247
20.9167,01JAN2000 20:55:00,27.412,399.637
21.0,01JAN2000 21:00:00,27.405,396.128
21.0833,01JAN2000 21:05:00,27.397,392.717
21.1667,01JAN2000 21:10:00,27.391,389.401
21.25,01JAN2000 21:15:00,27.383,386.163
21.3333,01JAN2000 21:20:00,27.376,382.981
21.4167,01JAN2000 21:25:00,27.369,379.846
21.5,01JAN2000 21:30:00,27.363,376.776
21.5833,01JAN2000 21:35:00,27.356,373.765
21.6667,01JAN2000 21:40:00,27.349,370.799
21.75,01JAN2000 21:45:00,27.343,367.873
21.8333,01JAN2000 21:50:00,27.336,365.007
21.9167,01JAN2000 21:55:00,27.33,362.208
22.0,01JAN2000 22:00:00,27.324,359.472
22.0833,01JAN2000 22:05:00,27.318,356.804
22.1667,01JAN2000 22:10:00,27.312,354.21
22.25,01JAN2000 22:15:00,27.306,351.662
22.3333,01JAN2000 22:20:00,27.301,349.13
22.4167,01JAN2000 22:25:00,27.295,346.62
22.5,01JAN2000 22:30:00,27.289,344.156
22.5833,01JAN2000 22:35:00,27.284,341.754
22.6667,01JAN2000 22:40:00,27.278,339.425
