time_h,date,stage,flow
-0.0,01JAN2000 00:00:00,112.122,0.0
0.0833,01JAN2000 00:05:00,112.346,0.0
0.1667,01JAN2000 00:10:00,112.346,0.0
0.25,01JAN2000 00:15:00,112.346,0.0
0.3333,01JAN2000 00:20:00,112.346,0.0
0.4167,01JAN2000 00:25:00,112.346,0.0
0.5,01JAN2000 00:30:00,112.346,0.0
0.5833,01JAN2000 00:35:00,112.346,0.0
0.6667,01JAN2000 00:40:00,112.346,0.0
0.75,01JAN2000 00:45:00,112.346,0.0
0.8333,01JAN2000 00:50:00,112.244,0.0
0.9167,01JAN2000 00:55:00,112.346,0.0
1.0,01JAN2000 01:00:00,112.353,0.0
1.0833,01JAN2000 01:05:00,112.39,0.007
1.1667,01JAN2000 01:10:00,112.439,0.035
1.25,01JAN2000 01:15:00,112.497,0.103
1.3333,01JAN2000 01:20:00,112.563,0.239
1.4167,01JAN2000 01:25:00,112.63,0.465
1.5,01JAN2000 01:30:00,112.704,0.789
1.5833,01JAN2000 01:35:00,112.785,1.213
1.6667,01JAN2000 01:40:00,112.862,1.733
1.75,01JAN2000 01:45:00,112.933,2.333
1.8333,01JAN2000 01:50:00,112.993,2.994
1.9167,01JAN2000 01:55:00,113.052,3.693
2.0,01JAN2000 02:00:00,113.106,4.408
2.0833,01JAN2000 02:05:00,113.155,5.131
2.1667,01JAN2000 02:10:00,113.199,5.861
2.25,01JAN2000 02:15:00,113.238,6.593
2.3333,01JAN2000 02:20:00,113.274,7.325
2.4167,01JAN2000 02:25:00,113.306,8.055
2.5,01JAN2000 02:30:00,113.338,8.788
2.5833,01JAN2000 02:35:00,113.366,9.52
2.6667,01JAN2000 02:40:00,113.392,10.239
2.75,01JAN2000 02:45:00,113.416,10.936
2.8333,01JAN2000 02:50:00,113.436,11.611
2.9167,01JAN2000 02:55:00,113.452,12.27
3.0,01JAN2000 03:00:00,113.467,12.918
3.0833,01JAN2000 03:05:00,113.482,13.559
3.1667,01JAN2000 03:10:00,113.496,14.212
3.25,01JAN2000 03:15:00,113.51,14.889
3.3333,01JAN2000 03:20:00,113.525,15.598
3.4167,01JAN2000 03:25:00,113.54,16.355
3.5,01JAN2000 03:30:00,113.557,17.191
3.5833,01JAN2000 03:35:00,113.574,18.127
3.6667,01JAN2000 03:40:00,113.593,19.17
3.75,01JAN2000 03:45:00,113.613,20.33
3.8333,01JAN2000 03:50:00,113.635,21.626
3.9167,01JAN2000 03:55:00,113.658,23.057
4.0,01JAN2000 04:00:00,113.683,24.596
4.0833,01JAN2000 04:05:00,113.708,26.229
4.1667,01JAN2000 04:10:00,113.734,27.958
4.25,01JAN2000 04:15:00,113.759,29.778
4.3333,01JAN2000 04:20:00,113.785,31.675
4.4167,01JAN2000 04:25:00,113.811,33.631
4.5,01JAN2000 04:30:00,113.836,35.641
4.5833,01JAN2000 04:35:00,113.861,37.694
4.6667,01JAN2000 04:40:00,113.886,39.765
4.75,01JAN2000 04:45:00,113.911,41.839
4.8333,01JAN2000 04:50:00,113.934,43.902
4.9167,01JAN2000 04:55:00,113.957,45.958
5.0,01JAN2000 05:00:00,113.98,48.019
5.0833,01JAN2000 05:05:00,114.002,50.084
5.1667,01JAN2000 05:10:00,114.025,52.157
5.25,01JAN2000 05:15:00,114.046,54.229
5.3333,01JAN2000 05:20:00,114.067,56.29
5.4167,01JAN2000 05:25:00,114.088,58.339
5.5,01JAN2000 05:30:00,114.108,60.382
5.5833,01JAN2000 05:35:00,114.128,62.423
5.6667,01JAN2000 05:40:00,114.147,64.471
5.75,01JAN2000 05:45:00,114.167,66.542
5.8333,01JAN2000 05:50:00,114.187,68.683
5.9167,01JAN2000 05:55:00,114.208,70.932
6.0,01JAN2000 06:00:00,114.23,73.318
6.0833,01JAN2000 06:05:00,114.253,75.889
6.1667,01JAN2000 06:10:00,114.278,78.712
6.25,01JAN2000 06:15:00,114.306,81.814
6.3333,01JAN2000 06:20:00,114.334,85.195
6.4167,01JAN2000 06:25:00,114.366,88.836
6.5,01JAN2000 06:30:00,114.397,92.716
6.5833,01JAN2000 06:35:00,114.428,96.824
6.6667,01JAN2000 06:40:00,114.461,101.138
6.75,01JAN2000 06:45:00,114.494,105.634
6.8333,01JAN2000 06:50:00,114.529,110.29
6.9167,01JAN2000 06:55:00,114.562,115.083
7.0,01JAN2000 07:00:00,114.595,120.006
7.0833,01JAN2000 07:05:00,114.63,125.043
7.1667,01JAN2000 07:10:00,114.663,130.169
7.25,01JAN2000 07:15:00,114.696,135.369
7.3333,01JAN2000 07:20:00,114.73,140.646
7.4167,01JAN2000 07:25:00,114.764,145.988
7.5,01JAN2000 07:30:00,114.797,151.375
7.5833,01JAN2000 07:35:00,114.828,156.806
7.6667,01JAN2000 07:40:00,114.862,162.298
7.75,01JAN2000 07:45:00,114.895,167.887
7.8333,01JAN2000 07:50:00,114.928,173.64
7.9167,01JAN2000 07:55:00,114.963,179.661
8.0,01JAN2000 08:00:00,114.999,186.176
8.0833,01JAN2000 08:05:00,115.038,193.374
8.1667,01JAN2000 08:10:00,115.082,201.318
8.25,01JAN2000 08:15:00,115.128,210.423
8.3333,01JAN2000 08:20:00,115.187,221.607
8.4167,01JAN2000 08:25:00,115.258,236.302
8.5,01JAN2000 08:30:00,115.351,256.144
8.5833,01JAN2000 08:35:00,115.469,282.091
8.6667,01JAN2000 08:40:00,115.603,313.629
8.75,01JAN2000 08:45:00,115.746,348.846
8.8333,01JAN2000 08:50:00,115.889,385.393
8.9167,01JAN2000 08:55:00,116.022,421.435
9.0,01JAN2000 09:00:00,116.145,455.979
9.0833,01JAN2000 09:05:00,116.258,488.716
9.1667,01JAN2000 09:10:00,116.362,519.797
9.25,01JAN2000 09:15:00,116.459,549.58
9.3333,01JAN2000 09:20:00,116.552,578.547
9.4167,01JAN2000 09:25:00,116.641,607.316
9.5,01JAN2000 09:30:00,116.73,636.597
9.5833,01JAN2000 09:35:00,116.822,667.09
9.6667,01JAN2000 09:40:00,116.917,699.438
9.75,01JAN2000 09:45:00,117.016,734.132
9.8333,01JAN2000 09:50:00,117.12,771.488
9.9167,01JAN2000 09:55:00,117.229,811.601
10.0,01JAN2000 10:00:00,117.342,854.306
10.0833,01JAN2000 10:05:00,117.458,899.207
10.1667,01JAN2000 10:10:00,117.577,945.727
10.25,01JAN2000 10:15:00,117.695,993.132
10.3333,01JAN2000 10:20:00,117.811,1040.7
10.4167,01JAN2000 10:25:00,117.924,1087.77
10.5,01JAN2000 10:30:00,118.032,1133.88
10.5833,01JAN2000 10:35:00,118.136,1178.85
10.6667,01JAN2000 10:40:00,118.237,1222.78
10.75,01JAN2000 10:45:00,118.333,1265.9
10.8333,01JAN2000 10:50:00,118.43,1308.58
10.9167,01JAN2000 10:55:00,118.523,1351.18
11.0,01JAN2000 11:00:00,118.617,1394.11
11.0833,01JAN2000 11:05:00,118.712,1437.78
11.1667,01JAN2000 11:10:00,118.807,1482.59
11.25,01JAN2000 11:15:00,118.905,1528.94
11.3333,01JAN2000 11:20:00,119.006,1577.25
11.4167,01JAN2000 11:25:00,119.11,1628.04
11.5,01JAN2000 11:30:00,119.213,1681.91
11.5833,01JAN2000 11:35:00,119.314,1739.79
11.6667,01JAN2000 11:40:00,119.42,1802.65
11.75,01JAN2000 11:45:00,119.536,1872.7
11.8333,01JAN2000 11:50:00,119.667,1952.38
11.9167,01JAN2000 11:55:00,119.827,2052.36
12.0,01JAN2000 12:00:00,120.035,2184.51
12.0833,01JAN2000 12:05:00,120.286,2349.69
12.1667,01JAN2000 12:10:00,120.58,2548.688
12.25,01JAN2000 12:15:00,120.88,2757.96
12.3333,01JAN2000 12:20:00,121.141,2945.158
12.4167,01JAN2000 12:25:00,121.35,3098.971
12.5,01JAN2000 12:30:00,121.505,3216.21
12.5833,01JAN2000 12:35:00,121.626,3308.221
12.6667,01JAN2000 12:40:00,121.719,3389.08
12.75,01JAN2000 12:45:00,121.811,3469.76
12.8333,01JAN2000 12:50:00,121.927,3575.3
12.9167,01JAN2000 12:55:00,122.084,3719.688
13.0,01JAN2000 13:00:00,122.283,3907.74
13.0833,01JAN2000 13:05:00,122.526,4144.337
13.1667,01JAN2000 13:10:00,122.809,4428.995
13.25,01JAN2000 13:15:00,123.128,4764.561
13.3333,01JAN2000 13:20:00,123.484,5150.585
13.4167,01JAN2000 13:25:00,123.868,5585.47
13.5,01JAN2000 13:30:00,124.278,6067.56
13.5833,01JAN2000 13:35:00,124.711,6597.95
13.6667,01JAN2000 13:40:00,125.17,7182.444
13.75,01JAN2000 13:45:00,125.658,7830.188
13.8333,01JAN2000 13:50:00,126.178,8546.751
13.9167,01JAN2000 13:55:00,126.724,9325.911
14.0,01JAN2000 14:00:00,127.274,10144.899
14.0833,01JAN2000 14:05:00,127.807,10967.209
14.1667,01JAN2000 14:10:00,128.3,11750.8
14.25,01JAN2000 14:15:00,128.732,12457.001
14.3333,01JAN2000 14:20:00,129.091,13055.8
14.4167,01JAN2000 14:25:00,129.368,13528.794
14.5,01JAN2000 14:30:00,129.566,13867.801
14.5833,01JAN2000 14:35:00,129.685,14074.198
14.6667,01JAN2000 14:40:00,129.732,14156.499
14.75,01JAN2000 14:45:00,129.723,14128.5
14.8333,01JAN2000 14:50:00,129.653,14007.198
14.9167,01JAN2000 14:55:00,129.54,13811.601
15.0,01JAN2000 15:00:00,129.402,13559.801
15.0833,01JAN2000 15:05:00,129.23,13269.001
15.1667,01JAN2000 15:10:00,129.043,12953.604
15.25,01JAN2000 15:15:00,128.841,12625.399
15.3333,01JAN2000 15:20:00,128.641,12293.206
15.4167,01JAN2000 15:25:00,128.444,11963.495
15.5,01JAN2000 15:30:00,128.241,11640.6
15.5833,01JAN2000 15:35:00,128.048,11327.196
15.6667,01JAN2000 15:40:00,127.85,11024.5
15.75,01JAN2000 15:45:00,127.67,10732.8
15.8333,01JAN2000 15:50:00,127.484,10451.999
15.9167,01JAN2000 15:55:00,127.309,10181.204
16.0,01JAN2000 16:00:00,127.135,9919.731
16.0833,01JAN2000 16:05:00,126.964,9666.511
16.1667,01JAN2000 16:10:00,126.794,9420.66
16.25,01JAN2000 16:15:00,126.634,9181.38
16.3333,01JAN2000 16:20:00,126.468,8948.01
16.4167,01JAN2000 16:25:00,126.311,8720.06
16.5,01JAN2000 16:30:00,126.148,8497.069
16.5833,01JAN2000 16:35:00,125.995,8278.75
16.6667,01JAN2000 16:40:00,125.836,8064.87
16.75,01JAN2000 16:45:00,125.687,7855.299
16.8333,01JAN2000 16:50:00,125.532,7649.891
16.9167,01JAN2000 16:55:00,125.379,7448.53
17.0,01JAN2000 17:00:00,125.228,7251.141
17.0833,01JAN2000 17:05:00,125.079,7057.62
17.1667,01JAN2000 17:10:00,124.93,6867.911
17.25,01JAN2000 17:15:00,124.784,6682.01
17.3333,01JAN2000 17:20:00,124.64,6499.97
17.4167,01JAN2000 17:25:00,124.497,6321.92
17.5,01JAN2000 17:30:00,124.349,6148.03
17.5833,01JAN2000 17:35:00,124.21,5978.48
17.6667,01JAN2000 17:40:00,124.072,5813.47
17.75,01JAN2000 17:45:00,123.935,5653.23
17.8333,01JAN2000 17:50:00,123.8,5497.979
17.9167,01JAN2000 17:55:00,123.667,5347.879
18.0,01JAN2000 18:00:00,123.536,5203.04
18.0833,01JAN2000 18:05:00,123.412,5063.48
18.1667,01JAN2000 18:10:00,123.289,4929.23
18.25,01JAN2000 18:15:00,123.167,4800.22
18.3333,01JAN2000 18:20:00,123.052,4676.31
18.4167,01JAN2000 18:25:00,122.938,4557.35
18.5,01JAN2000 18:30:00,122.826,4443.189
18.5833,01JAN2000 18:35:00,122.72,4333.67
18.6667,01JAN2000 18:40:00,122.615,4228.56
18.75,01JAN2000 18:45:00,122.512,4127.62
18.8333,01JAN2000 18:50:00,122.414,4030.59
18.9167,01JAN2000 18:55:00,122.318,3937.28
19.0,01JAN2000 19:00:00,122.227,3847.46
19.0833,01JAN2000 19:05:00,122.132,3760.94
19.1667,01JAN2000 19:10:00,122.043,3677.54
19.25,01JAN2000 19:15:00,121.955,3597.1
19.3333,01JAN2000 19:20:00,121.873,3519.48
19.4167,01JAN2000 19:25:00,121.786,3444.54
19.5,01JAN2000 19:30:00,121.706,3372.14
19.5833,01JAN2000 19:35:00,121.625,3302.17
19.6667,01JAN2000 19:40:00,121.537,3234.52
19.75,01JAN2000 19:45:00,121.449,3169.11
19.8333,01JAN2000 19:50:00,121.366,3105.85
19.9167,01JAN2000 19:55:00,121.28,3044.67
20.0,01JAN2000 20:00:00,121.204,2985.48
20.0833,01JAN2000 20:05:00,121.123,2928.2
20.1667,01JAN2000 20:10:00,121.044,2872.74
20.25,01JAN2000 20:15:00,120.97,2819.03
20.3333,01JAN2000 20:20:00,120.896,2767.0
20.4167,01JAN2000 20:25:00,120.827,2716.61
20.5,01JAN2000 20:30:00,120.759,2667.8
20.5833,01JAN2000 20:35:00,120.691,2620.55
20.6667,01JAN2000 20:40:00,120.624,2574.78
20.75,01JAN2000 20:45:00,120.557,2530.45
20.8333,01JAN2000 20:50:00,120.495,2487.47
20.9167,01JAN2000 20:55:00,120.434,2445.8
21.0,01JAN2000 21:00:00,120.373,2405.34
21.0833,01JAN2000 21:05:00,120.316,2366.08
21.1667,01JAN2000 21:10:00,120.256,2327.97
21.25,01JAN2000 21:15:00,120.2,2290.99
21.3333,01JAN2000 21:20:00,120.145,2255.11
21.4167,01JAN2000 21:25:00,120.094,2220.29
21.5,01JAN2000 21:30:00,120.04,2186.55
21.5833,01JAN2000 21:35:00,119.99,2153.85
21.6667,01JAN2000 21:40:00,119.94,2122.19
21.75,01JAN2000 21:45:00,119.894,2091.5
21.8333,01JAN2000 21:50:00,119.845,2061.74
21.9167,01JAN2000 21:55:00,119.799,2032.86
22.0,01JAN2000 22:00:00,119.754,2004.81
22.0833,01JAN2000 22:05:00,119.71,1977.56
22.1667,01JAN2000 22:10:00,119.669,1951.07
22.25,01JAN2000 22:15:00,119.625,1925.32
22.3333,01JAN2000 22:20:00,119.585,1900.28
22.4167,01JAN2000 22:25:00,119.545,1875.94
