datetime,plan,title,ok,elapsed_min,summary
2026-09-22T09:39,p27,DB Fill,False,0.0,{'hdf': 'missing'}
2026-09-22T09:40,p27,DB Fill,False,0.0,{'hdf': 'missing'}
2026-09-22T09:46,p27,DB Fill,False,0.0,{'hdf': 'missing'}
2026-09-22T09:47,p43,TEST copy of PMPDam,False,0.0,{'hdf': 'missing'}
2026-09-22T09:49,p43,TEST copy of PMPDam,True,0.5,"{'hdf': 'Majlas.p43.hdf', 'size_MB': 33.4, 'VA Error': 0.33690229058265686, 'VA Error Percent': 0.06760279089212418, 'VA Precipitation Excess (m^3)': 379.2000732421875, 'VA Precipitation Excess (mm)': 636736128.0, 'VA Total Boundary Flux of Water In': 498.3555908203125, 'VA Total Boundary Flux of Water Out': 0.8677970767021179, 'VA': ""n/a (could not convert string to float: np.bytes_(b'1000 m^3'))"", 'max WSE (m)': 439.3077392578125, 'computation time': '00:00:25'}"
2026-09-22T09:53,p27,DB Fill,True,2.7,"{'hdf': 'Majlas.p27.hdf', 'size_MB': 38.7, 'VA Error': 3314.472900390625, 'VA Error Percent': 3.1813933849334717, 'VA Total Boundary Flux of Water In': 104183.0625, 'VA Total Boundary Flux of Water Out': 0.0, 'VA': ""n/a (could not convert string to float: np.bytes_(b'1000 m^3'))"", 'max WSE (m)': 770.2921752929688, 'computation time': '00:02:38'}"
2026-09-22T10:15,p27,DB Fill,True,19.9,"{'hdf': 'Majlas.p27.hdf', 'size_MB': 147.6, 'VA Error': 0.09443048387765884, 'VA Error Percent': 8.070421608863398e-05, 'VA Total Boundary Flux of Water In': 117008.1171875, 'VA Total Boundary Flux of Water Out': 13930.61328125, 'VA': ""n/a (could not convert string to float: np.bytes_(b'1000 m^3'))"", 'max WSE (m)': 438.8760986328125, 'computation time': '00:19:52'}"
2026-09-22T10:27,p27,DB Fill,True,10.8,"{'hdf': 'Majlas.p27.hdf', 'size_MB': 132.5, 'VA Error': 0.2010849118232727, 'VA Error Percent': 0.00019598437938839197, 'VA Total Boundary Flux of Water In': 102602.5234375, 'VA Total Boundary Flux of Water Out': 321.1745910644531, 'VA': ""n/a (could not convert string to float: np.bytes_(b'1000 m^3'))"", 'max WSE (m)': 438.8760986328125, 'computation time': '00:10:46'}"
2026-09-22T10:41,p32,"S3D PMF no failure, dikes",True,13.7,"{'hdf': 'Majlas.p32.hdf', 'size_MB': 0.0, 'VA': ""n/a ('Unable to synchronously open object (component not found)')""}"
2026-09-22T10:45,p27,Fill reservoir to 84.5 m (restart),True,3.5,"{'hdf': 'Majlas.p27.hdf', 'size_MB': 54.2, 'VA Error': 6.863395690917969, 'VA Error Percent': 0.00669091334566474, 'VA Total Boundary Flux of Water In': 102577.859375, 'VA Total Boundary Flux of Water Out': 0.0, 'VA': ""n/a (could not convert string to float: np.bytes_(b'1000 m^3'))"", 'max WSE (m)': 438.8760986328125, 'computation time': '00:03:24'}"
2026-09-22T11:03,p27,Fill reservoir to 84.5 m (restart),True,16.3,"{'hdf': 'Majlas.p27.hdf', 'size_MB': 142.1, 'VA Error': 0.32717365026474, 'VA Error Percent': 0.000321700528729707, 'VA Total Boundary Flux of Water In': 101701.3046875, 'VA Total Boundary Flux of Water Out': 0.0, 'VA': ""n/a (could not convert string to float: np.bytes_(b'1000 m^3'))"", 'max WSE (m)': 438.8760986328125, 'computation time': '00:16:14'}"
2026-09-22T11:13,p29,"S1N sunny day failure, no dikes",True,0.3,"{'hdf': 'Majlas.p29.hdf', 'size_MB': 26.7, 'VA': 'n/a (""Unable to synchronously open object (object \'Volume Accounting\' doesn\'t exist)"")', 'computation time': ''}"
2026-09-22T11:32,p44,TEST S3D no rain (restart),True,2.4,"{'hdf': 'Majlas.p44.hdf', 'size_MB': 0.0, 'VA': ""n/a ('Unable to synchronously open object (component not found)')""}"
